# Timestep Y UX UY RHO
# Timestep: 0
0 0 0 0 1
0 1 4.6015e-06 0 1
0 2 4.6015e-06 0 1
0 3 4.6015e-06 0 1
0 4 4.6015e-06 0 1
0 5 4.6015e-06 0 1
0 6 4.6015e-06 0 1
0 7 4.6015e-06 0 1
0 8 4.6015e-06 0 1
0 9 4.6015e-06 0 1
0 10 0 0 1

# Timestep: 100
100 0 0 0 1
100 1 0.000182114 1.35308e-16 1
100 2 0.000243816 9.36751e-17 1
100 3 0.000287745 3.81639e-17 1
100 4 0.000314043 3.1225e-17 1
100 5 0.000322798 6.93889e-18 1
100 6 0.000314043 -3.46945e-17 1
100 7 0.000287745 -1.04083e-17 1
100 8 0.000243816 -1.00614e-16 1
100 9 0.000182114 -1.249e-16 1
100 10 0 0 1

# Timestep: 200
200 0 0 0 1
200 1 0.00018841 1.14492e-16 1
200 2 0.000252726 8.67362e-17 1
200 3 0.000298661 1.73472e-17 1
200 4 0.00032622 6.93889e-18 1
200 5 0.000335406 -4.16334e-17 1
200 6 0.00032622 3.46945e-18 1
200 7 0.000298661 -3.46945e-17 1
200 8 0.000252726 -8.67362e-17 1
200 9 0.00018841 -6.93889e-17 1
200 10 0 0 1

# Timestep: 300
300 0 0 0 1
300 1 0.000188652 1.38778e-16 1
300 2 0.000253069 9.02056e-17 1
300 3 0.000299081 4.85723e-17 1
300 4 0.000326688 3.81639e-17 1
300 5 0.00033589 0 1
300 6 0.000326688 -6.59195e-17 1
300 7 0.000299081 -5.20417e-17 1
300 8 0.000253069 -1.17961e-16 1
300 9 0.000188652 -1.38778e-16 1
300 10 0 0 1

# Timestep: 400
400 0 0 0 1
400 1 0.000188661 1.07553e-16 1
400 2 0.000253082 7.97973e-17 1
400 3 0.000299097 7.28584e-17 1
400 4 0.000326706 3.81639e-17 1
400 5 0.000335909 -3.1225e-17 1
400 6 0.000326706 -6.245e-17 1
400 7 0.000299097 -7.63278e-17 1
400 8 0.000253082 -8.32667e-17 1
400 9 0.000188661 -1.11022e-16 1
400 10 0 0 1

# Timestep: 500
500 0 0 0 1
500 1 0.000188661 1.07553e-16 1
500 2 0.000253082 6.93889e-17 1
500 3 0.000299097 5.20417e-17 1
500 4 0.000326706 3.46945e-17 1
500 5 0.000335909 3.46945e-18 1
500 6 0.000326706 -5.20417e-17 1
500 7 0.000299097 -7.28584e-17 1
500 8 0.000253082 -6.93889e-17 1
500 9 0.000188661 -1.11022e-16 1
500 10 0 0 1

# Timestep: 600
600 0 0 0 1
600 1 0.000188661 8.67362e-17 1
600 2 0.000253082 9.36751e-17 1
600 3 0.000299097 8.32667e-17 1
600 4 0.000326706 3.46945e-17 1
600 5 0.000335909 0 1
600 6 0.000326706 -3.46945e-17 1
600 7 0.000299097 -3.81639e-17 1
600 8 0.000253082 -4.16334e-17 1
600 9 0.000188661 -2.77556e-17 1
600 10 0 0 1

# Timestep: 700
700 0 0 0 1
700 1 0.000188661 9.36751e-17 1
700 2 0.000253082 4.16334e-17 1
700 3 0.000299097 0 1
700 4 0.000326706 -3.46945e-17 1
700 5 0.000335909 3.1225e-17 1
700 6 0.000326706 2.77556e-17 1
700 7 0.000299097 -6.93889e-18 1
700 8 0.000253082 -4.16334e-17 1
700 9 0.000188661 -5.55112e-17 1
700 10 0 0 1

# Timestep: 15000
15000 0 0 0 1
15000 1 0.000188661 9.36751e-17 1
15000 2 0.000253082 4.16334e-17 1
15000 3 0.000299097 0 1
15000 4 0.000326706 -3.46945e-17 1
15000 5 0.000335909 3.1225e-17 1
15000 6 0.000326706 2.77556e-17 1
15000 7 0.000299097 -6.93889e-18 1
15000 8 0.000253082 -4.16334e-17 1
15000 9 0.000188661 -5.55112e-17 1
15000 10 0 0 1

