# Timestep Y UX UY RHO
# Timestep: 0
0 0 0 0 1
0 1 4.6015e-06 0 1
0 2 4.6015e-06 0 1
0 3 4.6015e-06 0 1
0 4 4.6015e-06 0 1
0 5 4.6015e-06 0 1
0 6 4.6015e-06 0 1
0 7 4.6015e-06 0 1
0 8 4.6015e-06 0 1
0 9 0 0 1

# Timestep: 100
100 0 0 0 1
100 1 0.000212441 1.76942e-16 1
100 2 0.000416121 8.32667e-17 1
100 3 0.000545849 4.85723e-17 1
100 4 0.000608793 -3.1225e-17 1
100 5 0.000608793 -1.38778e-17 1
100 6 0.000545849 -4.51028e-17 1
100 7 0.000416121 -8.32667e-17 1
100 8 0.000212441 -9.02056e-17 1
100 9 0 0 1

# Timestep: 200
200 0 0 0 1
200 1 0.000260171 1.66533e-16 1
200 2 0.000517378 1.49186e-16 1
200 3 0.000687269 1.17961e-16 1
200 4 0.000771714 5.20417e-17 1
200 5 0.000771714 -7.97973e-17 1
200 6 0.000687269 -2.498e-16 1
200 7 0.000517378 -1.56125e-16 1
200 8 0.000260171 -1.66533e-16 1
200 9 0 0 1

# Timestep: 300
300 0 0 0 1
300 1 0.000272619 1.56125e-16 1
300 2 0.000543784 1.73472e-17 1
300 3 0.000724149 1.04083e-17 1
300 4 0.000814201 -1.9082e-16 1
300 5 0.000814201 2.08167e-17 1
300 6 0.000724149 -7.97973e-17 1
300 7 0.000543784 1.04083e-17 1
300 8 0.000272619 -1.52656e-16 1
300 9 0 0 1

# Timestep: 400
400 0 0 0 1
400 1 0.000275865 1.70003e-16 1
400 2 0.000550671 9.36751e-17 1
400 3 0.000733767 4.51028e-17 1
400 4 0.000825281 6.93889e-18 1
400 5 0.000825281 3.1225e-17 1
400 6 0.000733767 -4.16334e-17 1
400 7 0.000550671 -1.83881e-16 1
400 8 0.000275865 -1.38778e-16 1
400 9 0 0 1

# Timestep: 500
500 0 0 0 1
500 1 0.000276712 2.28983e-16 1
500 2 0.000552467 1.04083e-16 1
500 3 0.000736275 -3.81639e-17 1
500 4 0.000828171 -6.245e-17 1
500 5 0.000828171 -7.28584e-17 1
500 6 0.000736275 -7.28584e-17 1
500 7 0.000552467 -1.56125e-16 1
500 8 0.000276712 -1.80411e-16 1
500 9 0 0 1

# Timestep: 600
600 0 0 0 1
600 1 0.000276932 2.39392e-16 1
600 2 0.000552935 1.76942e-16 1
600 3 0.00073693 1.73472e-17 1
600 4 0.000828924 -1.04083e-17 1
600 5 0.000828924 -6.59195e-17 1
600 6 0.00073693 -1.21431e-16 1
600 7 0.000552935 -6.245e-17 1
600 8 0.000276932 -1.38778e-16 1
600 9 0 0 1

# Timestep: 700
700 0 0 0 1
700 1 0.00027699 1.31839e-16 1
700 2 0.000553057 2.15106e-16 1
700 3 0.0007371 8.32667e-17 1
700 4 0.000829121 -6.93889e-18 1
700 5 0.000829121 3.1225e-17 1
700 6 0.0007371 -5.89806e-17 1
700 7 0.000553057 -1.66533e-16 1
700 8 0.00027699 -1.38778e-16 1
700 9 0 0 1

# Timestep: 800
800 0 0 0 1
800 1 0.000277005 1.49186e-16 1
800 2 0.000553089 5.89806e-17 1
800 3 0.000737145 1.42247e-16 1
800 4 0.000829172 9.02056e-17 1
800 5 0.000829172 -2.08167e-17 1
800 6 0.000737145 -6.59195e-17 1
800 7 0.000553089 -1.56125e-16 1
800 8 0.000277005 -1.66533e-16 1
800 9 0 0 1

# Timestep: 900
900 0 0 0 1
900 1 0.000277009 1.94289e-16 1
900 2 0.000553097 1.70003e-16 1
900 3 0.000737156 1.42247e-16 1
900 4 0.000829186 -1.21431e-16 1
900 5 0.000829186 3.46945e-18 1
900 6 0.000737156 -5.20417e-17 1
900 7 0.000553097 -1.2837e-16 1
900 8 0.000277009 -1.80411e-16 1
900 9 0 0 1

# Timestep: 1000
1000 0 0 0 1
1000 1 0.00027701 1.9082e-16 1
1000 2 0.0005531 1.80411e-16 1
1000 3 0.000737159 1.8735e-16 1
1000 4 0.000829189 9.02056e-17 1
1000 5 0.000829189 3.46945e-17 1
1000 6 0.000737159 -1.21431e-16 1
1000 7 0.0005531 -1.97758e-16 1
1000 8 0.00027701 -1.94289e-16 1
1000 9 0 0 1

# Timestep: 1100
1100 0 0 0 1
1100 1 0.00027701 1.35308e-16 1
1100 2 0.0005531 1.31839e-16 1
1100 3 0.00073716 1.35308e-16 1
1100 4 0.00082919 1.249e-16 1
1100 5 0.00082919 -6.93889e-17 1
1100 6 0.00073716 -9.36751e-17 1
1100 7 0.0005531 -2.15106e-16 1
1100 8 0.00027701 -1.66533e-16 1
1100 9 0 0 1

# Timestep: 1200
1200 0 0 0 1
1200 1 0.00027701 1.42247e-16 1
1200 2 0.0005531 1.14492e-16 1
1200 3 0.00073716 1.2837e-16 1
1200 4 0.00082919 3.46945e-17 1
1200 5 0.00082919 -6.59195e-17 1
1200 6 0.00073716 -6.245e-17 1
1200 7 0.0005531 -1.14492e-16 1
1200 8 0.00027701 -1.249e-16 1
1200 9 0 0 1

# Timestep: 1300
1300 0 0 0 1
1300 1 0.00027701 1.42247e-16 1
1300 2 0.0005531 1.35308e-16 1
1300 3 0.00073716 1.21431e-16 1
1300 4 0.00082919 1.04083e-16 1
1300 5 0.00082919 -1.07553e-16 1
1300 6 0.00073716 -1.2837e-16 1
1300 7 0.0005531 -1.2837e-16 1
1300 8 0.00027701 -1.38778e-16 1
1300 9 0 0 1

# Timestep: 1400
1400 0 0 0 1
1400 1 0.00027701 1.66533e-16 1
1400 2 0.0005531 -1.38778e-17 1
1400 3 0.00073716 9.71445e-17 1
1400 4 0.00082919 1.04083e-17 1
1400 5 0.00082919 6.93889e-18 1
1400 6 0.00073716 -1.35308e-16 1
1400 7 0.0005531 -1.14492e-16 1
1400 8 0.00027701 -1.52656e-16 1
1400 9 0 0 1

# Timestep: 15000
15000 0 0 0 1
15000 1 0.00027701 1.66533e-16 1
15000 2 0.0005531 -1.38778e-17 1
15000 3 0.00073716 9.71445e-17 1
15000 4 0.00082919 1.04083e-17 1
15000 5 0.00082919 6.93889e-18 1
15000 6 0.00073716 -1.35308e-16 1
15000 7 0.0005531 -1.14492e-16 1
15000 8 0.00027701 -1.52656e-16 1
15000 9 0 0 1

