# Timestep F_bot_x_ME F_bot_y_ME F_top_x_ME F_top_y_ME F_bot_x_SI F_bot_y_SI F_top_x_SI F_top_y_SI F_bot_x_FD F_top_x_FD Dissipation
0 3.06767e-05 -3.33333 3.06767e-05 3.33333 1.15037e-05 -6.66667 1.15037e-05 6.66667 9.203e-06 9.203e-06 1.32336e-10
100 0.000607647 -3.33333 0.000607647 3.33333 0.000527461 -6.66667 0.000527461 6.66667 0.000453911 0.000453911 5.58453e-07
200 0.000875761 -3.33333 0.000875761 3.33333 0.000791943 -6.66667 0.000791943 6.66667 0.000667552 0.000667552 1.59381e-06
300 0.00107035 -3.33333 0.00107035 3.33333 0.000984443 -6.66667 0.000984443 6.66667 0.000822738 0.000822738 2.74496e-06
400 0.00121608 -3.33333 0.00121608 3.33333 0.00112864 -6.66667 0.00112864 6.66667 0.00093896 0.00093896 3.8241e-06
500 0.00132554 -3.33333 0.00132554 3.33333 0.00123697 -6.66667 0.00123697 6.66667 0.00102627 0.00102627 4.75618e-06
600 0.00140781 -3.33333 0.00140781 3.33333 0.00131837 -6.66667 0.00131837 6.66667 0.00109188 0.00109188 5.52503e-06
700 0.00146962 -3.33333 0.00146962 3.33333 0.00137954 -6.66667 0.00137954 6.66667 0.00114118 0.00114118 6.14143e-06
800 0.00151608 -3.33333 0.00151608 3.33333 0.00142551 -6.66667 0.00142551 6.66667 0.00117823 0.00117823 6.62646e-06
900 0.00155098 -3.33333 0.00155098 3.33333 0.00146006 -6.66667 0.00146006 6.66667 0.00120607 0.00120607 7.00327e-06
1000 0.00157722 -3.33333 0.00157722 3.33333 0.00148602 -6.66667 0.00148602 6.66667 0.001227 0.001227 7.29339e-06
1100 0.00159693 -3.33333 0.00159693 3.33333 0.00150552 -6.66667 0.00150552 6.66667 0.00124272 0.00124272 7.51534e-06
1200 0.00161175 -3.33333 0.00161175 3.33333 0.00152018 -6.66667 0.00152018 6.66667 0.00125453 0.00125453 7.68435e-06
1300 0.00162288 -3.33333 0.00162288 3.33333 0.0015312 -6.66667 0.0015312 6.66667 0.00126341 0.00126341 7.8126e-06
1400 0.00163124 -3.33333 0.00163124 3.33333 0.00153948 -6.66667 0.00153948 6.66667 0.00127009 0.00127009 7.9097e-06
1500 0.00163753 -3.33333 0.00163753 3.33333 0.0015457 -6.66667 0.0015457 6.66667 0.0012751 0.0012751 7.98306e-06
1600 0.00164225 -3.33333 0.00164225 3.33333 0.00155037 -6.66667 0.00155037 6.66667 0.00127887 0.00127887 8.03841e-06
1700 0.00164581 -3.33333 0.00164581 3.33333 0.00155389 -6.66667 0.00155389 6.66667 0.0012817 0.0012817 8.08014e-06
1800 0.00164847 -3.33333 0.00164847 3.33333 0.00155653 -6.66667 0.00155653 6.66667 0.00128383 0.00128383 8.11156e-06
1900 0.00165048 -3.33333 0.00165048 3.33333 0.00155851 -6.66667 0.00155851 6.66667 0.00128543 0.00128543 8.13522e-06
2000 0.00165198 -3.33333 0.00165198 3.33333 0.00156 -6.66667 0.00156 6.66667 0.00128663 0.00128663 8.15302e-06
2100 0.00165312 -3.33333 0.00165312 3.33333 0.00156112 -6.66667 0.00156112 6.66667 0.00128753 0.00128753 8.16641e-06
2200 0.00165397 -3.33333 0.00165397 3.33333 0.00156196 -6.66667 0.00156196 6.66667 0.00128821 0.00128821 8.17648e-06
2300 0.00165461 -3.33333 0.00165461 3.33333 0.0015626 -6.66667 0.0015626 6.66667 0.00128872 0.00128872 8.18405e-06
2400 0.00165509 -3.33333 0.00165509 3.33333 0.00156307 -6.66667 0.00156307 6.66667 0.0012891 0.0012891 8.18974e-06
2500 0.00165545 -3.33333 0.00165545 3.33333 0.00156343 -6.66667 0.00156343 6.66667 0.00128939 0.00128939 8.19402e-06
2600 0.00165572 -3.33333 0.00165572 3.33333 0.0015637 -6.66667 0.0015637 6.66667 0.00128961 0.00128961 8.19724e-06
2700 0.00165592 -3.33333 0.00165592 3.33333 0.0015639 -6.66667 0.0015639 6.66667 0.00128977 0.00128977 8.19965e-06
2800 0.00165608 -3.33333 0.00165608 3.33333 0.00156405 -6.66667 0.00156405 6.66667 0.00128989 0.00128989 8.20147e-06
2900 0.00165619 -3.33333 0.00165619 3.33333 0.00156417 -6.66667 0.00156417 6.66667 0.00128998 0.00128998 8.20284e-06
3000 0.00165628 -3.33333 0.00165628 3.33333 0.00156425 -6.66667 0.00156425 6.66667 0.00129005 0.00129005 8.20386e-06
3100 0.00165634 -3.33333 0.00165634 3.33333 0.00156432 -6.66667 0.00156432 6.66667 0.0012901 0.0012901 8.20463e-06
3200 0.00165639 -3.33333 0.00165639 3.33333 0.00156436 -6.66667 0.00156436 6.66667 0.00129014 0.00129014 8.20521e-06
3300 0.00165643 -3.33333 0.00165643 3.33333 0.0015644 -6.66667 0.0015644 6.66667 0.00129017 0.00129017 8.20565e-06
3400 0.00165646 -3.33333 0.00165646 3.33333 0.00156443 -6.66667 0.00156443 6.66667 0.00129019 0.00129019 8.20598e-06
3500 0.00165648 -3.33333 0.00165648 3.33333 0.00156445 -6.66667 0.00156445 6.66667 0.00129021 0.00129021 8.20622e-06
3600 0.00165649 -3.33333 0.00165649 3.33333 0.00156446 -6.66667 0.00156446 6.66667 0.00129022 0.00129022 8.20641e-06
3700 0.0016565 -3.33333 0.0016565 3.33333 0.00156447 -6.66667 0.00156447 6.66667 0.00129023 0.00129023 8.20655e-06
3800 0.00165651 -3.33333 0.00165651 3.33333 0.00156448 -6.66667 0.00156448 6.66667 0.00129024 0.00129024 8.20665e-06
3900 0.00165652 -3.33333 0.00165652 3.33333 0.00156449 -6.66667 0.00156449 6.66667 0.00129024 0.00129024 8.20673e-06
4000 0.00165652 -3.33333 0.00165652 3.33333 0.0015645 -6.66667 0.0015645 6.66667 0.00129025 0.00129025 8.20679e-06
4100 0.00165653 -3.33333 0.00165653 3.33333 0.0015645 -6.66667 0.0015645 6.66667 0.00129025 0.00129025 8.20683e-06
