# Timestep RelativeVelocityChange
0 1.000000e+00
100 9.539002e-03
200 4.609883e-03
300 2.978154e-03
400 2.163690e-03
500 1.675203e-03
600 1.349805e-03
700 1.117811e-03
800 9.443541e-04
900 8.100184e-04
1000 7.031242e-04
1100 6.162191e-04
1200 5.443230e-04
1300 4.839807e-04
1400 4.327199e-04
1500 3.887247e-04
1600 3.506313e-04
1700 3.173957e-04
1800 2.882049e-04
1900 2.624164e-04
2000 2.395159e-04
2100 2.190865e-04
2200 2.007869e-04
2300 1.843350e-04
2400 1.694955e-04
2500 1.560704e-04
2600 1.438924e-04
2700 1.328187e-04
2800 1.227267e-04
2900 1.135109e-04
3000 1.050796e-04
3100 9.735305e-05
3200 9.026139e-05
3300 8.374321e-05
3400 7.774430e-05
3500 7.221667e-05
3600 6.711766e-05
3700 6.240923e-05
3800 5.805737e-05
3900 5.403157e-05
4000 5.030440e-05
4100 4.685114e-05
4200 4.364943e-05
4300 4.067906e-05
4400 3.792168e-05
4500 3.536059e-05
4600 3.298061e-05
4700 3.076787e-05
4800 2.870971e-05
4900 2.679455e-05
5000 2.501176e-05
5100 2.335161e-05
5200 2.180514e-05
5300 2.036413e-05
5400 1.902099e-05
5500 1.776875e-05
5600 1.660095e-05
5700 1.551165e-05
5800 1.449535e-05
5900 1.354697e-05
6000 1.266180e-05
6100 1.183547e-05
6200 1.106396e-05
6300 1.034351e-05
6400 9.670649e-06
6500 9.042144e-06
6600 8.455000e-06
6700 7.906431e-06
6800 7.393845e-06
6900 6.914833e-06
7000 6.467154e-06
7100 6.048720e-06
7200 5.657588e-06
7300 5.291948e-06
7400 4.950114e-06
7500 4.630513e-06
7600 4.331682e-06
7700 4.052252e-06
7800 3.790951e-06
7900 3.546588e-06
8000 3.318056e-06
8100 3.104318e-06
8200 2.904408e-06
8300 2.717424e-06
8400 2.542525e-06
8500 2.378922e-06
8600 2.225882e-06
8700 2.082718e-06
8800 1.948789e-06
8900 1.823496e-06
9000 1.706279e-06
9100 1.596615e-06
9200 1.494016e-06
9300 1.398023e-06
9400 1.308210e-06
9500 1.224177e-06
9600 1.145552e-06
9700 1.071984e-06
9800 1.003148e-06
9900 9.387391e-07
10000 8.784708e-07
10100 8.220766e-07
10200 7.693068e-07
10300 7.199281e-07
10400 6.737220e-07
10500 6.304843e-07
10600 5.900240e-07
10700 5.521622e-07
10800 5.167320e-07
10900 4.835768e-07
11000 4.525505e-07
11100 4.235160e-07
11200 3.963455e-07
11300 3.709190e-07
11400 3.471246e-07
11500 3.248573e-07
11600 3.040191e-07
11700 2.845181e-07
11800 2.662685e-07
11900 2.491899e-07
12000 2.332072e-07
12100 2.182498e-07
12200 2.042521e-07
12300 1.911524e-07
12400 1.788931e-07
12500 1.674203e-07
12600 1.566833e-07
12700 1.466351e-07
12800 1.372315e-07
12900 1.284310e-07
13000 1.201950e-07
13100 1.124872e-07
13200 1.052738e-07
13300 9.852300e-08
13400 9.220519e-08
13500 8.629255e-08
13600 8.075911e-08
13700 7.558054e-08
13800 7.073407e-08
13900 6.619841e-08
14000 6.195361e-08
14100 5.798102e-08
14200 5.426318e-08
14300 5.078376e-08
14400 4.752745e-08
14500 4.447996e-08
14600 4.162789e-08
14700 3.895870e-08
14800 3.646067e-08
14900 3.412283e-08
15000 3.193489e-08
