# Timestep F_bot_x_ME F_bot_y_ME F_top_x_ME F_top_y_ME F_bot_x_SI F_bot_y_SI F_top_x_SI F_top_y_SI F_bot_x_FD F_top_x_FD Dissipation
0 1.47631e-05 -1.83333 1.47631e-05 1.83333 5.53618e-06 -3.66667 5.53618e-06 3.66667 5.06165e-06 5.06165e-06 5.5726e-11
100 0.000282686 -1.83333 0.000282686 1.83333 0.000242907 -3.66667 0.000242907 3.66667 0.000214156 0.000214156 1.85344e-07
200 0.000358942 -1.83333 0.000358942 1.83333 0.000316196 -3.66667 0.000316196 3.66667 0.000274726 0.000274726 3.33532e-07
300 0.000385034 -1.83333 0.000385034 1.83333 0.000341272 -3.66667 0.000341272 3.66667 0.00029545 0.00029545 3.94323e-07
400 0.000393961 -1.83333 0.000393961 1.83333 0.000349853 -3.66667 0.000349853 3.66667 0.000302541 0.000302541 4.16304e-07
500 0.000397016 -1.83333 0.000397016 1.83333 0.000352788 -3.66667 0.000352788 3.66667 0.000304968 0.000304968 4.23964e-07
600 0.000398061 -1.83333 0.000398061 1.83333 0.000353793 -3.66667 0.000353793 3.66667 0.000305798 0.000305798 4.26601e-07
700 0.000398419 -1.83333 0.000398419 1.83333 0.000354137 -3.66667 0.000354137 3.66667 0.000306082 0.000306082 4.27505e-07
800 0.000398541 -1.83333 0.000398541 1.83333 0.000354254 -3.66667 0.000354254 3.66667 0.000306179 0.000306179 4.27814e-07
900 0.000398583 -1.83333 0.000398583 1.83333 0.000354295 -3.66667 0.000354295 3.66667 0.000306213 0.000306213 4.2792e-07
1000 0.000398597 -1.83333 0.000398597 1.83333 0.000354308 -3.66667 0.000354308 3.66667 0.000306224 0.000306224 4.27957e-07
1100 0.000398602 -1.83333 0.000398602 1.83333 0.000354313 -3.66667 0.000354313 3.66667 0.000306228 0.000306228 4.27969e-07
1200 0.000398604 -1.83333 0.000398604 1.83333 0.000354315 -3.66667 0.000354315 3.66667 0.000306229 0.000306229 4.27973e-07
1300 0.000398605 -1.83333 0.000398605 1.83333 0.000354315 -3.66667 0.000354315 3.66667 0.00030623 0.00030623 4.27975e-07
1400 0.000398605 -1.83333 0.000398605 1.83333 0.000354315 -3.66667 0.000354315 3.66667 0.00030623 0.00030623 4.27975e-07
1500 0.000398605 -1.83333 0.000398605 1.83333 0.000354315 -3.66667 0.000354315 3.66667 0.00030623 0.00030623 4.27975e-07
1600 0.000398605 -1.83333 0.000398605 1.83333 0.000354315 -3.66667 0.000354315 3.66667 0.00030623 0.00030623 4.27975e-07
1700 0.000398605 -1.83333 0.000398605 1.83333 0.000354315 -3.66667 0.000354315 3.66667 0.00030623 0.00030623 4.27975e-07
1800 0.000398605 -1.83333 0.000398605 1.83333 0.000354315 -3.66667 0.000354315 3.66667 0.00030623 0.00030623 4.27975e-07
15000 0.000398605 -1.83333 0.000398605 1.83333 0.000354315 -3.66667 0.000354315 3.66667 0.00030623 0.00030623 4.27975e-07
