# Timestep Y UX UY RHO
# Timestep: 0
0 0 0 0 1
0 1 4.6015e-06 0 1
0 2 4.6015e-06 0 1
0 3 4.6015e-06 0 1
0 4 4.6015e-06 0 1
0 5 4.6015e-06 0 1
0 6 4.6015e-06 0 1
0 7 4.6015e-06 0 1
0 8 4.6015e-06 0 1
0 9 4.6015e-06 0 1
0 10 0 0 1

# Timestep: 100
100 0 0 0 1
100 1 0.000205702 1.00614e-16 1
100 2 0.000283758 7.28584e-17 1
100 3 0.000339381 2.08167e-17 1
100 4 0.000372701 2.08167e-17 1
100 5 0.000383798 0 1
100 6 0.000372701 -6.59195e-17 1
100 7 0.000339381 -3.81639e-17 1
100 8 0.000283758 -9.02056e-17 1
100 9 0.000205702 -8.32667e-17 1
100 10 0 0 1

# Timestep: 200
200 0 0 0 1
200 1 0.000211491 1.38778e-16 1
200 2 0.000291943 1.00614e-16 1
200 3 0.000349405 7.63278e-17 1
200 4 0.00038388 4.85723e-17 1
200 5 0.000395372 -3.46945e-18 1
200 6 0.00038388 -8.32667e-17 1
200 7 0.000349405 -1.17961e-16 1
200 8 0.000291943 -1.42247e-16 1
200 9 0.000211491 -9.02056e-17 1
200 10 0 0 1

# Timestep: 300
300 0 0 0 1
300 1 0.000211664 5.20417e-17 1
300 2 0.000292188 7.63278e-17 1
300 3 0.000349705 2.08167e-17 1
300 4 0.000384215 1.38778e-17 1
300 5 0.000395718 -2.42861e-17 1
300 6 0.000384215 -1.73472e-17 1
300 7 0.000349705 -6.59195e-17 1
300 8 0.000292188 -9.36751e-17 1
300 9 0.000211664 -1.11022e-16 1
300 10 0 0 1

# Timestep: 400
400 0 0 0 1
400 1 0.000211669 1.14492e-16 1
400 2 0.000292195 9.02056e-17 1
400 3 0.000349714 6.245e-17 1
400 4 0.000384225 3.81639e-17 1
400 5 0.000395729 -1.04083e-17 1
400 6 0.000384225 -2.77556e-17 1
400 7 0.000349714 -6.59195e-17 1
400 8 0.000292195 -7.28584e-17 1
400 9 0.000211669 -1.11022e-16 1
400 10 0 0 1

# Timestep: 500
500 0 0 0 1
500 1 0.000211669 4.85723e-17 1
500 2 0.000292195 5.55112e-17 1
500 3 0.000349714 3.1225e-17 1
500 4 0.000384225 4.85723e-17 1
500 5 0.000395729 -3.46945e-18 1
500 6 0.000384225 -5.20417e-17 1
500 7 0.000349714 -6.93889e-17 1
500 8 0.000292195 -5.89806e-17 1
500 9 0.000211669 -1.04083e-16 1
500 10 0 0 1

# Timestep: 600
600 0 0 0 1
600 1 0.000211669 6.93889e-17 1
600 2 0.000292195 3.1225e-17 1
600 3 0.000349714 1.73472e-17 1
600 4 0.000384225 5.55112e-17 1
600 5 0.000395729 -1.04083e-17 1
600 6 0.000384225 -5.20417e-17 1
600 7 0.000349714 -4.85723e-17 1
600 8 0.000292195 -6.93889e-17 1
600 9 0.000211669 -1.31839e-16 1
600 10 0 0 1

# Timestep: 15000
15000 0 0 0 1
15000 1 0.000211669 6.93889e-17 1
15000 2 0.000292195 3.1225e-17 1
15000 3 0.000349714 1.73472e-17 1
15000 4 0.000384225 5.55112e-17 1
15000 5 0.000395729 -1.04083e-17 1
15000 6 0.000384225 -5.20417e-17 1
15000 7 0.000349714 -4.85723e-17 1
15000 8 0.000292195 -6.93889e-17 1
15000 9 0.000211669 -1.31839e-16 1
15000 10 0 0 1

