# Timestep F_bot_x_ME F_bot_y_ME F_top_x_ME F_top_y_ME F_bot_x_SI F_bot_y_SI F_top_x_SI F_top_y_SI F_bot_x_FD F_top_x_FD Dissipation
0 1.68722e-05 -1.83333 1.68722e-05 1.83333 6.32706e-06 -3.66667 6.32706e-06 3.66667 5.06165e-06 5.06165e-06 7.27849e-11
100 0.00032369 -1.83333 0.00032369 1.83333 0.000278203 -3.66667 0.000278203 3.66667 0.00024092 0.00024092 2.43253e-07
200 0.00041064 -1.83333 0.00041064 1.83333 0.00036177 -3.66667 0.00036177 3.66667 0.000309687 0.000309687 4.36706e-07
300 0.000440253 -1.83333 0.000440253 1.83333 0.000390232 -3.66667 0.000390232 3.66667 0.000333108 0.000333108 5.1563e-07
400 0.000450339 -1.83333 0.000450339 1.83333 0.000399925 -3.66667 0.000399925 3.66667 0.000341085 0.000341085 5.44023e-07
500 0.000453774 -1.83333 0.000453774 1.83333 0.000403227 -3.66667 0.000403227 3.66667 0.000343801 0.000343801 5.53868e-07
600 0.000454944 -1.83333 0.000454944 1.83333 0.000404351 -3.66667 0.000404351 3.66667 0.000344727 0.000344727 5.57242e-07
700 0.000455343 -1.83333 0.000455343 1.83333 0.000404734 -3.66667 0.000404734 3.66667 0.000345042 0.000345042 5.58393e-07
800 0.000455478 -1.83333 0.000455478 1.83333 0.000404865 -3.66667 0.000404865 3.66667 0.000345149 0.000345149 5.58786e-07
900 0.000455525 -1.83333 0.000455525 1.83333 0.000404909 -3.66667 0.000404909 3.66667 0.000345186 0.000345186 5.58919e-07
1000 0.00045554 -1.83333 0.00045554 1.83333 0.000404924 -3.66667 0.000404924 3.66667 0.000345198 0.000345198 5.58965e-07
1100 0.000455546 -1.83333 0.000455546 1.83333 0.000404929 -3.66667 0.000404929 3.66667 0.000345202 0.000345202 5.5898e-07
1200 0.000455548 -1.83333 0.000455548 1.83333 0.000404931 -3.66667 0.000404931 3.66667 0.000345204 0.000345204 5.58986e-07
1300 0.000455548 -1.83333 0.000455548 1.83333 0.000404932 -3.66667 0.000404932 3.66667 0.000345204 0.000345204 5.58987e-07
1400 0.000455548 -1.83333 0.000455548 1.83333 0.000404932 -3.66667 0.000404932 3.66667 0.000345204 0.000345204 5.58988e-07
1500 0.000455548 -1.83333 0.000455548 1.83333 0.000404932 -3.66667 0.000404932 3.66667 0.000345205 0.000345205 5.58988e-07
1600 0.000455548 -1.83333 0.000455548 1.83333 0.000404932 -3.66667 0.000404932 3.66667 0.000345205 0.000345205 5.58988e-07
1700 0.000455548 -1.83333 0.000455548 1.83333 0.000404932 -3.66667 0.000404932 3.66667 0.000345205 0.000345205 5.58988e-07
1800 0.000455548 -1.83333 0.000455548 1.83333 0.000404932 -3.66667 0.000404932 3.66667 0.000345205 0.000345205 5.58988e-07
15000 0.000455548 -1.83333 0.000455548 1.83333 0.000404932 -3.66667 0.000404932 3.66667 0.000345205 0.000345205 5.58988e-07
