# Step MaxDeltaU
0 2.9058900560e-01
500 1.3409036398e-02
1000 1.9708060627e-03
1500 6.8492187193e-04
2000 3.0777076937e-04
2500 2.3399225230e-04
3000 2.1778479895e-04
3500 1.9162904959e-04
4000 1.5042088504e-04
4500 1.2137340502e-04
5000 1.0782533215e-04
5500 8.4209453256e-05
6000 2.9465502954e-04
6500 6.4479212599e-05
7000 5.6222100194e-05
7500 6.9520019596e-05
8000 3.7961373298e-05
8500 3.0143996338e-05
9000 2.4628097655e-05
9500 1.9169207553e-05
10000 1.7516398362e-05
10500 1.2862940656e-05
11000 1.0369268722e-05
11500 8.1721283902e-06
12000 6.2491579346e-06
12500 8.5692067938e-06
13000 7.9004048065e-06
13500 3.7964865021e-06
14000 2.7998911420e-06
14500 2.1902219647e-06
15000 1.6492948487e-06
15500 1.4766336969e-06
16000 7.8079771185e-07
16500 5.1156670939e-07
17000 3.2585442873e-07
17500 2.0134984395e-07
18000 1.1757185049e-07
18500 7.2726682549e-08
19000 4.9481212248e-08
19500 2.2346224904e-08
20000 1.4061149095e-08
20500 9.7069849535e-09
21000 5.1867565345e-09
21500 1.3367883636e-08
22000 6.1003495464e-09
22500 6.9846047382e-09
23000 5.5753122412e-09
23500 8.3340369245e-09
24000 3.1010225835e-09
24500 8.1162459523e-09
25000 9.4432465959e-09
25500 4.5506032524e-09
26000 1.6850151385e-08
26500 3.9265867211e-09
27000 6.3227549499e-09
27500 6.3642234865e-09
28000 6.5211757631e-09
28500 3.6393562391e-09
29000 9.0586073424e-09
29500 4.1825464731e-09
30000 9.6845116327e-09
